timestamp,design,rank,dedup_module,original_ir_size,instance_count,module_ir_size,boundary_signal_count,boundary_to_interior_ratio,edge_count_within,fraction_design_covered
2026-04-26 13:39:19,rocket21-1c,ml,IntSyncCrossingSource_1,63611,5,4,0,0.0,0,3.1441102953891624E-4
2026-04-26 13:43:45,rocket21-1c,1,TLB,63611,2,646,0,0.0,5,0.02031095250821399
2026-04-26 13:47:56,rocket21-1c,0,,63611,0,0,0,0.0,0,0.0
2026-04-26 13:39:52,rocket21-2c,ml,FPU,92966,2,4546,388,0.004173568831615859,374,0.09779919540477164
2026-04-26 13:47:40,rocket21-2c,1,TilePRCIDomain,92966,2,27407,2806,0.030183077684314694,5849,0.5896134070520406
2026-04-26 13:53:49,rocket21-2c,0,,92966,0,0,0,0.0,0,0.0
2026-04-26 13:41:20,rocket21-4c,ml,TLXbar_7,152612,4,1741,99,6.487039027075198E-4,138,0.045632060388436035
2026-04-26 13:57:37,rocket21-4c,1,TilePRCIDomain,152612,4,27404,2901,0.01900899011873247,5862,0.718265929284722
2026-04-26 14:11:17,rocket21-4c,0,,152612,0,0,0,0.0,0,0.0
2026-04-26 13:44:25,rocket21-6c,ml,TLXbar_7,215001,6,1741,83,3.8604471607108805E-4,133,0.048585820531067296
2026-04-26 14:15:13,rocket21-6c,1,TilePRCIDomain,215001,6,27404,2813,0.013083660075999646,6129,0.7647592336779829
2026-04-26 14:40:10,rocket21-6c,0,,215001,0,0,0,0.0,0,0.0
2026-04-26 13:47:57,rocket21-8c,ml,TLXbar_7,273529,8,1741,131,4.789254521458419E-4,115,0.05091964654570448
2026-04-26 14:33:10,rocket21-8c,1,TilePRCIDomain,273529,8,27404,2811,0.01027678966398444,6043,0.8014945398842536
2026-04-26 15:11:19,rocket21-8c,0,,273529,0,0,0,0.0,0,0.0
2026-04-26 13:42:19,boom21-small,ml,IntSyncCrossingSource_1,107392,5,4,0,0.0,0,1.8623361144219308E-4
2026-04-26 13:52:35,boom21-small,1,BoomMSHR,107392,2,1064,294,0.0027376340882002384,403,0.019815256257449343
2026-04-26 14:02:01,boom21-small,0,,107392,0,0,0,0.0,0,0.0
2026-04-26 13:48:07,boom21-2small,ml,FPUExeUnit,180473,2,5779,553,0.0030641702636959546,998,0.06404282080976102
2026-04-26 14:14:58,boom21-2small,1,TilePRCIDomain,180473,2,75979,11159,0.06183196378405634,22707,0.8419985260953162
2026-04-26 14:40:05,boom21-2small,0,,180473,0,0,0,0.0,0,0.0
2026-04-26 14:09:56,boom21-4small,ml,BoomNonBlockingDCache,330565,4,5701,1121,0.0033911636138127146,1506,0.06898491975859514
2026-04-26 15:27:28,boom21-4small,1,TilePRCIDomain,330565,4,75979,10474,0.0316851451303072,22441,0.9193834797997368
2026-04-26 16:41:11,boom21-4small,0,,330565,0,0,0,0.0,0,0.0
2026-04-26 14:48:42,boom21-6small,ml,BoomCore,476346,6,31873,4780,0.010034722659579382,9032,0.40146868032900457
2026-04-26 17:22:47,boom21-6small,1,TilePRCIDomain,476346,6,75979,10909,0.022901420396098635,22539,0.9570228363416509
2026-04-26 19:38:04,boom21-6small,0,,476346,0,0,0,0.0,0,0.0
2026-04-26 17:13:46,boom21-8small,ml,BoomCore,628502,8,31873,4813,0.007657891303448517,9253,0.405701175175258
2026-04-26 21:40:20,boom21-8small,1,TilePRCIDomain,628502,8,75979,11085,0.017637175378916854,22078,0.967112276492358
2026-04-27 08:21:32,boom21-8small,0,,628502,0,0,0,0.0,0,0.0
2026-04-26 13:54:36,boom21-large,ml,AsyncResetSynchronizerShiftReg_w1_d3_i0,214308,10,9,0,0.0,0,4.199563245422476E-4
2026-04-26 14:29:07,boom21-large,1,ComposedBranchPredictorBank,214308,2,13789,2055,0.009589002743714653,3651,0.12868395020251228
2026-04-26 15:00:05,boom21-large,0,,214308,0,0,0,0.0,0,0.0
2026-04-26 15:07:03,boom21-2large,ml,FpPipeline,395219,2,13194,1607,0.00406610006097885,3735,0.06676804505856247
2026-04-26 17:05:30,boom21-2large,1,TilePRCIDomain,395219,2,186956,23953,0.060606904020302665,59867,0.9460881182331821
2026-04-26 19:31:28,boom21-2large,0,,395219,0,0,0,0.0,0,0.0
2026-04-26 16:52:42,boom21-4large,ml,IssueUnitCollapsing_2,756419,4,12288,172,2.273872020665795E-4,2016,0.06497985904637509
2026-04-26 23:51:35,boom21-4large,1,TilePRCIDomain,756419,4,186956,23933,0.03163987155267121,60015,0.9886372499897543
2026-04-27 11:01:27,boom21-4large,0,,756419,0,0,0,0.0,0,0.0
2026-04-26 14:16:17,boom21-mega,ml,MulAddRecFNPipe_1,316008,2,677,4,1.26579073947495E-5,11,0.004284701653122705
2026-04-26 15:26:33,boom21-mega,1,ComposedBranchPredictorBank,316008,2,13789,1860,0.005885926938558518,3567,0.08726994253310043
2026-04-26 16:30:25,boom21-mega,0,,316008,0,0,0,0.0,0,0.0
2026-04-26 16:55:30,boom21-2mega,ml,BoomMSHRFile,597599,2,17507,2927,0.004897933229473276,4782,0.05859112883388359
2026-04-26 21:34:15,boom21-2mega,1,TilePRCIDomain,597599,2,288473,32190,0.0538655519838554,92511,0.9654400358769007
2026-04-27 05:36:56,boom21-2mega,0,,597599,0,0,0,0.0,0,0.0
2026-04-23 10:47:11,boom21-4mega,ml,,1160552,0,0,0,0.0,0,0.0
