design,rank,dedup_module,benchmark,parallel_cpus,instance_count,module_ir_size,boundary_signal_count,boundary_to_interior_ratio,edge_count_within,fraction_design_covered,original_ir_size,median_throughput_hz,baseline_throughput_hz,relative_speedup
boom21-2large,1,TilePRCIDomain,memcpy,32,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,6989.5028,7472.5232,0.93536
boom21-2large,1,TilePRCIDomain,memcpy,48,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,4797.6475,5534.6635,0.866836
boom21-2large,1,TilePRCIDomain,memcpy,64,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,3174.7133,3638.886,0.872441
boom21-2large,1,TilePRCIDomain,multiply,32,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,5800.3869,6644.0061,0.873026
boom21-2large,1,TilePRCIDomain,multiply,48,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,4116.8778,4399.6659,0.935725
boom21-2large,1,TilePRCIDomain,multiply,64,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,2700.9969,2846.4549,0.948899
boom21-2large,1,TilePRCIDomain,qsort,32,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,4534.5876,3843.5791,1.179783
boom21-2large,1,TilePRCIDomain,qsort,48,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,2802.988,2865.7829,0.978088
boom21-2large,1,TilePRCIDomain,qsort,64,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,1752.9082,1941.099,0.903049
boom21-2large,1,TilePRCIDomain,vvadd,32,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,6974.0093,7369.8408,0.94629
boom21-2large,1,TilePRCIDomain,vvadd,48,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,4827.6488,5158.2784,0.935903
boom21-2large,1,TilePRCIDomain,vvadd,64,2,186956,23953,0.060606904020302665,59867,0.9460881182331821,395219,3150.6056,3475.2946,0.906572
boom21-2large,ml,FpPipeline,memcpy,32,2,13194,1607,0.00406610006097885,3735,0.06676804505856247,395219,7840.3635,7472.5232,1.049226
boom21-2large,ml,FpPipeline,memcpy,48,2,13194,1607,0.00406610006097885,3735,0.06676804505856247,395219,5109.3019,5534.6635,0.923146
boom21-2large,ml,FpPipeline,memcpy,64,2,13194,1607,0.00406610006097885,3735,0.06676804505856247,395219,3449.607,3638.886,0.947984
boom21-2large,ml,FpPipeline,qsort,32,2,13194,1607,0.00406610006097885,3735,0.06676804505856247,395219,4724.4004,3843.5791,1.229167
boom21-2large,ml,FpPipeline,qsort,48,2,13194,1607,0.00406610006097885,3735,0.06676804505856247,395219,2836.5109,2865.7829,0.989786
boom21-2large,ml,FpPipeline,qsort,64,2,13194,1607,0.00406610006097885,3735,0.06676804505856247,395219,1836.0296,1941.099,0.945871
boom21-2large,ml,FpPipeline,vvadd,32,2,13194,1607,0.00406610006097885,3735,0.06676804505856247,395219,7687.6564,7369.8408,1.043124
boom21-2large,ml,FpPipeline,vvadd,48,2,13194,1607,0.00406610006097885,3735,0.06676804505856247,395219,5241.0152,5158.2784,1.01604
boom21-2large,ml,FpPipeline,vvadd,64,2,13194,1607,0.00406610006097885,3735,0.06676804505856247,395219,3349.5066,3475.2946,0.963805
boom21-2mega,1,TilePRCIDomain,memcpy,32,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,4820.3055,4918.0886,0.980118
boom21-2mega,1,TilePRCIDomain,memcpy,48,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,2959.3459,3425.0329,0.864034
boom21-2mega,1,TilePRCIDomain,memcpy,64,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,1690.8995,2021.2585,0.836558
boom21-2mega,1,TilePRCIDomain,multiply,32,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,3295.9116,3273.1899,1.006942
boom21-2mega,1,TilePRCIDomain,multiply,48,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,1985.5995,1961.4172,1.012329
boom21-2mega,1,TilePRCIDomain,multiply,64,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,1163.3613,1247.282,0.932717
boom21-2mega,1,TilePRCIDomain,qsort,32,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,2233.1542,2159.7065,1.034008
boom21-2mega,1,TilePRCIDomain,qsort,48,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,1217.0953,1275.2948,0.954364
boom21-2mega,1,TilePRCIDomain,qsort,64,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,737.8433,761.0165,0.96955
boom21-2mega,1,TilePRCIDomain,vvadd,32,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,3785.5183,3910.6818,0.967994
boom21-2mega,1,TilePRCIDomain,vvadd,48,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,2292.4065,2466.4261,0.929445
boom21-2mega,1,TilePRCIDomain,vvadd,64,2,288473,32190,0.0538655519838554,92511,0.9654400358769007,597599,1355.7179,1509.5591,0.898089
boom21-2mega,ml,BoomMSHRFile,memcpy,32,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,5396.6686,4918.0886,1.09731
boom21-2mega,ml,BoomMSHRFile,memcpy,48,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,3554.2105,3425.0329,1.037716
boom21-2mega,ml,BoomMSHRFile,memcpy,64,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,2274.3862,2021.2585,1.125233
boom21-2mega,ml,BoomMSHRFile,multiply,32,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,3540.626,3273.1899,1.081705
boom21-2mega,ml,BoomMSHRFile,multiply,48,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,2146.9691,1961.4172,1.094601
boom21-2mega,ml,BoomMSHRFile,multiply,64,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,1376.958,1247.282,1.103967
boom21-2mega,ml,BoomMSHRFile,qsort,32,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,2344.6447,2159.7065,1.085631
boom21-2mega,ml,BoomMSHRFile,qsort,48,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,1460.1021,1275.2948,1.144913
boom21-2mega,ml,BoomMSHRFile,qsort,64,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,831.9589,761.0165,1.093221
boom21-2mega,ml,BoomMSHRFile,vvadd,32,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,4155.0116,3910.6818,1.062478
boom21-2mega,ml,BoomMSHRFile,vvadd,48,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,2591.5594,2466.4261,1.050735
boom21-2mega,ml,BoomMSHRFile,vvadd,64,2,17507,2927,0.004897933229473276,4782,0.05859112883388359,597599,1694.4192,1509.5591,1.12246
boom21-2small,1,TilePRCIDomain,memcpy,32,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,17596.2997,18728.2888,0.939557
boom21-2small,1,TilePRCIDomain,memcpy,48,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,13887.9208,14169.2359,0.980146
boom21-2small,1,TilePRCIDomain,memcpy,64,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,10158.5604,10436.601,0.973359
boom21-2small,1,TilePRCIDomain,multiply,32,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,14861.8524,15576.8321,0.9541
boom21-2small,1,TilePRCIDomain,multiply,48,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,11830.7666,11910.788,0.993282
boom21-2small,1,TilePRCIDomain,multiply,64,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,8782.7853,9261.0894,0.948353
boom21-2small,1,TilePRCIDomain,qsort,32,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,13341.545,13760.2707,0.96957
boom21-2small,1,TilePRCIDomain,qsort,48,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,10254.3426,10451.5387,0.981132
boom21-2small,1,TilePRCIDomain,qsort,64,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,7736.965,8503.7914,0.909825
boom21-2small,1,TilePRCIDomain,vvadd,32,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,17409.7676,18118.5971,0.960878
boom21-2small,1,TilePRCIDomain,vvadd,48,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,12613.7786,14361.0617,0.878332
boom21-2small,1,TilePRCIDomain,vvadd,64,2,75979,11159,0.06183196378405634,22707,0.8419985260953162,180473,10065.3684,10085.2128,0.998032
boom21-2small,ml,FPUExeUnit,memcpy,32,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,18419.5074,18728.2888,0.983513
boom21-2small,ml,FPUExeUnit,memcpy,48,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,13700.1224,14169.2359,0.966892
boom21-2small,ml,FPUExeUnit,memcpy,64,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,10203.3676,10436.601,0.977652
boom21-2small,ml,FPUExeUnit,multiply,32,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,15092.5785,15576.8321,0.968912
boom21-2small,ml,FPUExeUnit,multiply,48,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,11586.6739,11910.788,0.972788
boom21-2small,ml,FPUExeUnit,multiply,64,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,8713.7396,9261.0894,0.940898
boom21-2small,ml,FPUExeUnit,qsort,32,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,13815.4588,13760.2707,1.004011
boom21-2small,ml,FPUExeUnit,qsort,48,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,9998.2214,10451.5387,0.956627
boom21-2small,ml,FPUExeUnit,qsort,64,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,7581.1993,8503.7914,0.891508
boom21-2small,ml,FPUExeUnit,vvadd,32,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,18015.6016,18118.5971,0.994315
boom21-2small,ml,FPUExeUnit,vvadd,48,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,13700.7072,14361.0617,0.954018
boom21-2small,ml,FPUExeUnit,vvadd,64,2,5779,553,0.0030641702636959546,998,0.06404282080976102,180473,9970.3747,10085.2128,0.988613
boom21-4large,1,TilePRCIDomain,memcpy,32,4,186956,23933,0.03163987155267121,60015,0.9886372499897543,756419,4250.7498,2767.8533,1.535757
boom21-4large,1,TilePRCIDomain,memcpy,48,4,186956,23933,0.03163987155267121,60015,0.9886372499897543,756419,2734.3517,1839.3646,1.486574
boom21-4large,1,TilePRCIDomain,memcpy,64,4,186956,23933,0.03163987155267121,60015,0.9886372499897543,756419,1696.4343,1103.7163,1.53702
boom21-4large,1,TilePRCIDomain,qsort,32,4,186956,23933,0.03163987155267121,60015,0.9886372499897543,756419,2453.9485,1311.6434,1.870896
boom21-4large,1,TilePRCIDomain,qsort,48,4,186956,23933,0.03163987155267121,60015,0.9886372499897543,756419,1319.5357,776.7808,1.698723
boom21-4large,1,TilePRCIDomain,qsort,64,4,186956,23933,0.03163987155267121,60015,0.9886372499897543,756419,750.6158,473.1464,1.586435
boom21-4large,1,TilePRCIDomain,vvadd,32,4,186956,23933,0.03163987155267121,60015,0.9886372499897543,756419,3698.864,2330.6418,1.587058
boom21-4large,1,TilePRCIDomain,vvadd,48,4,186956,23933,0.03163987155267121,60015,0.9886372499897543,756419,2560.065,1352.947,1.892214
boom21-4large,1,TilePRCIDomain,vvadd,64,4,186956,23933,0.03163987155267121,60015,0.9886372499897543,756419,1448.0038,846.9323,1.709704
boom21-4large,ml,IssueUnitCollapsing_2,memcpy,32,4,12288,172,2.273872020665795E-4,2016,0.06497985904637509,756419,3027.4684,2767.8533,1.093797
boom21-4large,ml,IssueUnitCollapsing_2,memcpy,48,4,12288,172,2.273872020665795E-4,2016,0.06497985904637509,756419,2291.8535,1839.3646,1.246003
boom21-4large,ml,IssueUnitCollapsing_2,memcpy,64,4,12288,172,2.273872020665795E-4,2016,0.06497985904637509,756419,1428.6682,1103.7163,1.294416
boom21-4large,ml,IssueUnitCollapsing_2,qsort,32,4,12288,172,2.273872020665795E-4,2016,0.06497985904637509,756419,1289.8893,1311.6434,0.983415
boom21-4large,ml,IssueUnitCollapsing_2,qsort,48,4,12288,172,2.273872020665795E-4,2016,0.06497985904637509,756419,751.2061,776.7808,0.967076
boom21-4large,ml,IssueUnitCollapsing_2,qsort,64,4,12288,172,2.273872020665795E-4,2016,0.06497985904637509,756419,566.8482,473.1464,1.19804
boom21-4large,ml,IssueUnitCollapsing_2,vvadd,32,4,12288,172,2.273872020665795E-4,2016,0.06497985904637509,756419,2405.9256,2330.6418,1.032302
