rank_chosen,cpu,benchmark,parallel_cpus,cycle_count,wall_time_s
0,boom21-2large,qsort,16,1039419,423.14
0,boom21-2large,qsort,16,1039419,384.58
0,boom21-2large,qsort,16,1039419,423.35
0,boom21-2large,qsort,16,1039419,393.59
0,boom21-2large,qsort,16,1039419,393.37
0,boom21-2large,qsort,16,1039419,424.68
0,boom21-2large,qsort,16,1039419,392.14
0,boom21-2large,qsort,16,1039419,451.83
0,boom21-2large,qsort,16,1039419,393.05
0,boom21-2large,qsort,16,1039419,425.1
0,boom21-2large,qsort,16,1039419,379.17
0,boom21-2large,qsort,16,1039419,392.31
0,boom21-2large,qsort,16,1039419,429.08
0,boom21-2large,qsort,16,1039419,413.8
0,boom21-2large,qsort,16,1039419,423.57
0,boom21-2large,qsort,16,1039419,429.79
0,boom21-2large,qsort,1,1039419,203.01
0,boom21-2large,vvadd,16,380467,83.98
0,boom21-2large,vvadd,16,380467,107.01
0,boom21-2large,vvadd,16,380467,89.74
0,boom21-2large,vvadd,16,380467,91.47
0,boom21-2large,vvadd,16,380467,103.88
0,boom21-2large,vvadd,16,380467,86.94
0,boom21-2large,vvadd,16,380467,83.97
0,boom21-2large,vvadd,16,380467,85.45
0,boom21-2large,vvadd,16,380467,79.31
0,boom21-2large,vvadd,16,380467,115.26
0,boom21-2large,vvadd,16,380467,124.89
0,boom21-2large,vvadd,16,380467,109.16
0,boom21-2large,vvadd,16,380467,79.09
0,boom21-2large,vvadd,16,380467,83.19
0,boom21-2large,vvadd,16,380467,84.62
0,boom21-2large,vvadd,16,380467,125.55
0,boom21-2large,vvadd,1,380467,48.91
0,boom21-2small,qsort,16,1292019,111.08
0,boom21-2small,qsort,16,1292019,119.83
0,boom21-2small,qsort,16,1292019,116.73
0,boom21-2small,qsort,16,1292019,115.06
0,boom21-2small,qsort,16,1292019,114.5
0,boom21-2small,qsort,16,1292019,139.85
0,boom21-2small,qsort,16,1292019,114.26
0,boom21-2small,qsort,16,1292019,112.42
0,boom21-2small,qsort,16,1292019,120.9
0,boom21-2small,qsort,16,1292019,115.35
0,boom21-2small,qsort,16,1292019,112.61
0,boom21-2small,qsort,16,1292019,111.32
0,boom21-2small,qsort,16,1292019,114.9
0,boom21-2small,qsort,16,1292019,117.86
0,boom21-2small,qsort,16,1292019,115.92
0,boom21-2small,qsort,16,1292019,118.64
0,boom21-2small,qsort,1,1292019,106.29
0,boom21-2small,vvadd,16,435571,28.44
0,boom21-2small,vvadd,16,435571,28.17
0,boom21-2small,vvadd,16,435571,28.34
0,boom21-2small,vvadd,16,435571,28.37
0,boom21-2small,vvadd,16,435571,29.15
0,boom21-2small,vvadd,16,435571,29.43
0,boom21-2small,vvadd,16,435571,28.91
0,boom21-2small,vvadd,16,435571,29.55
0,boom21-2small,vvadd,16,435571,28.38
0,boom21-2small,vvadd,16,435571,29.52
0,boom21-2small,vvadd,16,435571,29.3
0,boom21-2small,vvadd,16,435571,29.14
0,boom21-2small,vvadd,16,435571,29.6
0,boom21-2small,vvadd,16,435571,28.88
0,boom21-2small,vvadd,16,435571,32.83
0,boom21-2small,vvadd,16,435571,28.89
0,boom21-2small,vvadd,1,435571,23.07
0,boom21-large,qsort,16,1035715,221.73
0,boom21-large,qsort,16,1035715,177.55
0,boom21-large,qsort,16,1035715,177.86
0,boom21-large,qsort,16,1035715,189.25
0,boom21-large,qsort,16,1035715,208.21
0,boom21-large,qsort,16,1035715,242.03
0,boom21-large,qsort,16,1035715,204.41
0,boom21-large,qsort,16,1035715,212.64
0,boom21-large,qsort,16,1035715,177.21
0,boom21-large,qsort,16,1035715,216.01
0,boom21-large,qsort,16,1035715,218.28
0,boom21-large,qsort,16,1035715,211.5
0,boom21-large,qsort,16,1035715,217.31
0,boom21-large,qsort,16,1035715,209.82
0,boom21-large,qsort,16,1035715,179.87
0,boom21-large,qsort,16,1035715,175.77
0,boom21-large,qsort,1,1035715,112.72
0,boom21-large,vvadd,16,377579,43.23
0,boom21-large,vvadd,16,377579,49.64
0,boom21-large,vvadd,16,377579,49.27
0,boom21-large,vvadd,16,377579,48.3
0,boom21-large,vvadd,16,377579,45.93
0,boom21-large,vvadd,16,377579,45.35
0,boom21-large,vvadd,16,377579,55.2
0,boom21-large,vvadd,16,377579,50.02
0,boom21-large,vvadd,16,377579,43.76
0,boom21-large,vvadd,16,377579,47.74
0,boom21-large,vvadd,16,377579,49.6
0,boom21-large,vvadd,16,377579,45.39
0,boom21-large,vvadd,16,377579,48.7
0,boom21-large,vvadd,16,377579,49.81
0,boom21-large,vvadd,16,377579,49.09
0,boom21-large,vvadd,16,377579,45.07
0,boom21-large,vvadd,1,377579,31.44
0,boom21-small,qsort,16,1287415,61.52
0,boom21-small,qsort,16,1287415,61.54
0,boom21-small,qsort,16,1287415,60.99
0,boom21-small,qsort,16,1287415,65.38
0,boom21-small,qsort,16,1287415,62.36
0,boom21-small,qsort,16,1287415,62.99
0,boom21-small,qsort,16,1287415,62.58
0,boom21-small,qsort,16,1287415,61.28
0,boom21-small,qsort,16,1287415,61.42
0,boom21-small,qsort,16,1287415,61.57
0,boom21-small,qsort,16,1287415,63.32
0,boom21-small,qsort,16,1287415,61.9
0,boom21-small,qsort,16,1287415,61.15
0,boom21-small,qsort,16,1287415,61.88
0,boom21-small,qsort,16,1287415,61.72
0,boom21-small,qsort,16,1287415,63.89
0,boom21-small,qsort,1,1287415,51.58
0,boom21-small,vvadd,16,432659,15.34
0,boom21-small,vvadd,16,432659,15.8
0,boom21-small,vvadd,16,432659,15.77
0,boom21-small,vvadd,16,432659,15.6
0,boom21-small,vvadd,16,432659,15.46
0,boom21-small,vvadd,16,432659,15.06
0,boom21-small,vvadd,16,432659,15.38
0,boom21-small,vvadd,16,432659,15.7
0,boom21-small,vvadd,16,432659,15.48
0,boom21-small,vvadd,16,432659,15.57
0,boom21-small,vvadd,16,432659,15.22
0,boom21-small,vvadd,16,432659,15.62
0,boom21-small,vvadd,16,432659,17.49
0,boom21-small,vvadd,16,432659,15.49
0,boom21-small,vvadd,16,432659,15.56
0,boom21-small,vvadd,16,432659,15.35
0,boom21-small,vvadd,1,432659,14.78
0,rocket21-1c,qsort,16,793459,11.45
0,rocket21-1c,qsort,16,793459,11.46
0,rocket21-1c,qsort,16,793459,11.4
0,rocket21-1c,qsort,16,793459,11.35
0,rocket21-1c,qsort,16,793459,12.87
0,rocket21-1c,qsort,16,793459,11.57
0,rocket21-1c,qsort,16,793459,11.57
0,rocket21-1c,qsort,16,793459,11.95
0,rocket21-1c,qsort,16,793459,11.51
0,rocket21-1c,qsort,16,793459,11.54
0,rocket21-1c,qsort,16,793459,11.62
0,rocket21-1c,qsort,16,793459,11.45
0,rocket21-1c,qsort,16,793459,11.56
0,rocket21-1c,qsort,16,793459,11.44
0,rocket21-1c,qsort,16,793459,11.4
0,rocket21-1c,qsort,16,793459,11.64
0,rocket21-1c,qsort,1,793459,9.78
0,rocket21-1c,vvadd,16,237215,3.66
0,rocket21-1c,vvadd,16,237215,3.72
0,rocket21-1c,vvadd,16,237215,3.71
0,rocket21-1c,vvadd,16,237215,4.29
0,rocket21-1c,vvadd,16,237215,3.7
0,rocket21-1c,vvadd,16,237215,3.67
0,rocket21-1c,vvadd,16,237215,3.76
0,rocket21-1c,vvadd,16,237215,3.73
0,rocket21-1c,vvadd,16,237215,3.62
0,rocket21-1c,vvadd,16,237215,3.62
0,rocket21-1c,vvadd,16,237215,3.66
0,rocket21-1c,vvadd,16,237215,3.68
0,rocket21-1c,vvadd,16,237215,3.66
0,rocket21-1c,vvadd,16,237215,3.66
0,rocket21-1c,vvadd,16,237215,3.69
0,rocket21-1c,vvadd,16,237215,3.7
0,rocket21-1c,vvadd,1,237215,3.58
0,rocket21-2c,qsort,16,794619,17.79
0,rocket21-2c,qsort,16,794619,16.37
0,rocket21-2c,qsort,16,794619,16.23
0,rocket21-2c,qsort,16,794619,16.2
0,rocket21-2c,qsort,16,794619,15.99
0,rocket21-2c,qsort,16,794619,16.39
0,rocket21-2c,qsort,16,794619,16.28
0,rocket21-2c,qsort,16,794619,15.95
0,rocket21-2c,qsort,16,794619,16.25
0,rocket21-2c,qsort,16,794619,16.15
0,rocket21-2c,qsort,16,794619,16.25
0,rocket21-2c,qsort,16,794619,16.43
0,rocket21-2c,qsort,16,794619,16.36
0,rocket21-2c,qsort,16,794619,15.98
0,rocket21-2c,qsort,16,794619,16.34
0,rocket21-2c,qsort,16,794619,16.2
0,rocket21-2c,qsort,1,794619,13.63
0,rocket21-2c,vvadd,16,238411,4.55
0,rocket21-2c,vvadd,16,238411,4.57
0,rocket21-2c,vvadd,16,238411,4.72
0,rocket21-2c,vvadd,16,238411,4.62
0,rocket21-2c,vvadd,16,238411,4.63
0,rocket21-2c,vvadd,16,238411,4.58
0,rocket21-2c,vvadd,16,238411,4.6
0,rocket21-2c,vvadd,16,238411,4.65
0,rocket21-2c,vvadd,16,238411,4.62
0,rocket21-2c,vvadd,16,238411,4.64
0,rocket21-2c,vvadd,16,238411,4.63
0,rocket21-2c,vvadd,16,238411,4.59
0,rocket21-2c,vvadd,16,238411,4.69
0,rocket21-2c,vvadd,16,238411,4.63
0,rocket21-2c,vvadd,16,238411,4.62
0,rocket21-2c,vvadd,16,238411,4.61
0,rocket21-2c,vvadd,1,238411,3.86
1,boom21-2large,qsort,16,1039455,459.2
1,boom21-2large,qsort,16,1039455,470.05
1,boom21-2large,qsort,16,1039455,419.82
1,boom21-2large,qsort,16,1039455,605.36
1,boom21-2large,qsort,16,1039455,419.34
1,boom21-2large,qsort,16,1039455,416.44
1,boom21-2large,qsort,16,1039455,454.95
1,boom21-2large,qsort,16,1039455,478.55
1,boom21-2large,qsort,16,1039455,420.51
1,boom21-2large,qsort,16,1039455,541.61
1,boom21-2large,qsort,16,1039455,538.61
1,boom21-2large,qsort,16,1039455,460.27
1,boom21-2large,qsort,16,1039455,428.8
