timestamp,design,rank,dedup_module,original_ir_size,instance_count,module_ir_size,boundary_signal_count,boundary_to_interior_ratio,edge_count_within,fraction_design_covered
2026-04-04 18:34:20,boom21-2large,0,,395219,0,0,0,0.0,0,0.0
2026-04-06 10:51:36,boom21-2large,10,IssueUnitCollapsing_2,395219,2,12288,268,6.781050506175058E-4,2145,0.06218324523871575
2026-04-04 22:15:58,boom21-2large,2,BoomTile,395219,2,185185,23579,0.05966059324070958,59239,0.9371259984970358
2026-04-05 01:57:39,boom21-2large,3,TileResetDomain,395219,2,185185,23579,0.05966059324070958,59239,0.9371259984970358
2026-04-05 05:41:41,boom21-2large,4,BoomCore,395219,2,90771,14424,0.03649622108248844,33578,0.45934532499702696
2026-04-05 09:42:30,boom21-2large,5,BoomFrontend,395219,2,43862,6114,0.015469904027893396,10301,0.22196301291182863
2026-04-05 13:17:33,boom21-2large,6,ComposedBranchPredictorBank,395219,4,13789,1760,0.004453227198085112,3488,0.13955806780544458
2026-04-05 17:04:39,boom21-2large,7,BranchPredictor,395219,2,27647,3652,0.009240446436026608,7048,0.13990724130165808
2026-04-05 20:48:40,boom21-2large,8,LoopBranchPredictorBank,395219,4,4488,686,0.0017357465101627198,1459,0.04542291742046815
2026-04-06 00:22:52,boom21-2large,9,FpPipeline,395219,2,13194,1607,0.00406610006097885,3735,0.06676804505856247
2026-04-04 18:02:43,boom21-2small,0,,180473,0,0,0,0.0,0,0.0
2026-04-06 09:05:46,boom21-2small,10,BoomNonBlockingDCache,180473,2,5701,1068,0.005917782715420035,1340,0.06317842558166596
2026-04-04 19:28:01,boom21-2small,1,TilePRCIDomain,180473,2,75979,11159,0.06183196378405634,22707,0.8419985260953162
2026-04-04 20:46:31,boom21-2small,2,BoomTile,180473,2,74324,10930,0.060563075917173206,22402,0.8236578324735556
2026-04-05 00:25:02,boom21-2small,3,TileResetDomain,180473,2,74324,10930,0.060563075917173206,22402,0.8236578324735556
2026-04-05 04:08:55,boom21-2small,4,BoomCore,180473,2,31873,5068,0.02808176292298571,9557,0.35321627057787036
2026-04-05 07:43:21,boom21-2small,5,BoomFrontend,180473,2,22270,3468,0.01921617083995944,5610,0.24679591961124378
2026-04-05 11:24:41,boom21-2small,6,BranchPredictor,180473,2,13868,1933,0.010710743435306112,3714,0.1536850387592604
2026-04-05 15:02:16,boom21-2small,7,ComposedBranchPredictorBank,180473,2,13842,1993,0.011043203138419597,3702,0.15339690701656203
2026-04-05 18:50:35,boom21-2small,8,FpPipeline,180473,2,7869,802,0.0044438780316169175,1816,0.08720418012666714
2026-04-05 22:33:29,boom21-2small,9,FPUExeUnit,180473,2,5779,553,0.0030641702636959546,998,0.06404282080976102
2026-04-04 18:05:47,boom21-large,0,,214308,0,0,0,0.0,0,0.0
