rank_chosen,cpu,benchmark,cycle_count,wall_time_s
0,boom21-2large,qsort,1039419,344.87
0,boom21-2large,qsort,1039419,345.65
0,boom21-2large,qsort,1039419,359.46
0,boom21-2large,qsort,1039419,329.93
0,boom21-2large,qsort,1039419,397.75
0,boom21-2large,qsort,1039419,339.67
0,boom21-2large,qsort,1039419,318.69
0,boom21-2large,qsort,1039419,374.29
0,boom21-2large,qsort,1039419,461.8
0,boom21-2large,qsort,1039419,360.09
0,boom21-2large,qsort,1039419,352.32
0,boom21-2large,qsort,1039419,334.73
0,boom21-2large,qsort,1039419,381.01
0,boom21-2large,qsort,1039419,510.64
0,boom21-2large,qsort,1039419,373.27
0,boom21-2large,qsort,1039419,557.22
0,boom21-2large,qsort,1039419,491.16
0,boom21-2large,qsort,1039419,410.17
0,boom21-2large,qsort,1039419,386.21
0,boom21-2large,qsort,1039419,382.84
0,boom21-2large,qsort,1039419,393.27
0,boom21-2large,qsort,1039419,475.47
0,boom21-2large,qsort,1039419,422.35
0,boom21-2large,qsort,1039419,541.91
0,boom21-2large,qsort,1039419,386.17
0,boom21-2large,qsort,1039419,409.33
0,boom21-2large,qsort,1039419,398.37
0,boom21-2large,qsort,1039419,409.96
0,boom21-2large,qsort,1039419,207.01
0,boom21-2large,qsort,1039419,212.0
0,boom21-2large,qsort,1039419,208.97
0,boom21-2large,qsort,1039419,220.79
0,boom21-2large,qsort,1039419,218.44
0,boom21-2large,qsort,1039419,223.23
0,boom21-2large,qsort,1039419,230.49
0,boom21-2large,qsort,1039419,262.6
0,boom21-2large,qsort,1039419,260.48
0,boom21-2large,qsort,1039419,283.69
0,boom21-2large,qsort,1039419,350.89
0,boom21-2large,qsort,1039419,289.09
0,boom21-2large,qsort,1039419,308.31
0,boom21-2large,qsort,1039419,292.28
0,boom21-2large,qsort,1039419,281.61
0,boom21-2small,memcpy,5477091,556.16
0,boom21-2small,memcpy,5477091,545.65
0,boom21-2small,memcpy,5477091,563.84
0,boom21-2small,memcpy,5477091,558.27
0,boom21-2small,memcpy,5477091,582.82
0,boom21-2small,memcpy,5477091,556.22
0,boom21-2small,memcpy,5477091,548.06
0,boom21-2small,memcpy,5477091,560.07
0,boom21-2small,memcpy,5477091,566.3
0,boom21-2small,memcpy,5477091,558.12
0,boom21-2small,memcpy,5477091,589.36
0,boom21-2small,memcpy,5477091,582.81
0,boom21-2small,memcpy,5477091,617.82
0,boom21-2small,memcpy,5477091,662.98
0,boom21-2small,memcpy,5477091,621.73
0,boom21-2small,memcpy,5477091,669.06
0,boom21-2small,memcpy,5477091,693.81
0,boom21-2small,memcpy,5477091,754.73
0,boom21-2small,memcpy,5477091,604.82
0,boom21-2small,memcpy,5477091,667.33
0,boom21-2small,memcpy,5477091,756.77
0,boom21-2small,memcpy,5477091,677.89
0,boom21-2small,memcpy,5477091,636.63
0,boom21-2small,memcpy,5477091,633.67
0,boom21-2small,memcpy,5477091,762.78
0,boom21-2small,memcpy,5477091,662.92
0,boom21-2small,memcpy,5477091,791.17
0,boom21-2small,memcpy,5477091,636.68
0,boom21-2small,memcpy,5477091,485.18
0,boom21-2small,memcpy,5477091,505.94
0,boom21-2small,memcpy,5477091,504.7
0,boom21-2small,memcpy,5477091,514.17
0,boom21-2small,memcpy,5477091,498.24
0,boom21-2small,memcpy,5477091,506.11
0,boom21-2small,memcpy,5477091,517.68
0,boom21-2small,memcpy,5477091,528.32
0,boom21-2small,memcpy,5477091,520.41
0,boom21-2small,memcpy,5477091,516.49
0,boom21-2small,memcpy,5477091,523.45
